GEM_ID,Kingdom,Phylum,Phylum_prev,Subclass,Genus,Species/strain,Citation,Source/link,Description,NCBI/RefSeq ID,GEM reaction count,SCC Filepath,Download command,Curation notes?,Imported by,Growth rate,Status,Status2,
iGC535,Bacteria,,Proteobacteria,Pseudomonadota,Nitrosomonas,europaea,Canto-Encalada et al 2022,https://github.com/cristalzucsd/Nitrosomonaseuropaea/tree/main/SBML_Models,ammonia-oxidizer,ATCC19718,1149,,,"At first, the solution becomes infeasible after metanet conversion! Instead I modified the metabolite IDs in R, which preserved the original growth rate. If i pass the modified version back into metanet, the growth rate went up 5x",,0.099,,,
iCW773,Bacteria,,,,Corynebacterium,glutamicum,Zhang et al. 2017,paper supplement,"flexible metabolism, model biotech organism",,1207,,,,,,,,
iBB1018,Bacteria,Bacillota,Firmicutes,Bacillota,Bacillus,subtilis subsp. subtilis str. 168,Blazquez et al. 2023,github,,,1577,,,,,0.69,,,
ec_iHN637,Bacteria,Bacillota,Firmicutes,Bacillota,Clostridium,ljungdahlii DSM 13528,Caivano et al. 2023,,Updated iHN637 with enzyme constraints,,,,,,,0.22,,,
hanpo,Fungi,Ascomycota,Ascomycota,Ascomycota,Hansenula,polymorpha,Zorrilla et al. 2021,SysBio Chalmers Github,methylotrophic yeast,GCA_001664045.1,2367 (from metanet),/projectnb/talbot-lab-data/metabolic_models/curated_models/hanpo/,wget https://github.com/SysBioChalmers/hanpo-GEM/raw/main/model/hanpo-GEM.xml,"Validator was down, but this passed Metanet, so I'm assuming it would go through validator. ",Sam,0.01,"Memote is done! It was able to be completed when adding the code that asks for extra time [qrsh -l h_rt=2:00:00], but before I did that, the memote report creation got stuck at ""test_consistency"" step again.. i forget how to take this test out, but it might be helpful to add that to the guidance document as I have been stuck on this test several times","Another note from Sam: The authors and I talked on GitHub, and the growth rate for the sco model is supposedly 0.07. While this growth rate (0.01) is pretty low compared to other genomes, it may not be incorrect becuase the 0.07 for sco is also 'small' compared to others","Metanet won't match the metabolite IDs, even though the metacyc identifiers are present in the annotation. Need to figure out how to reassign ID's from the annotation before passing to metanet"
papla,Fungi,Basidiomycota,Basidiomycota,Basidiomycota,Papiliotrema,laurentii UFV-1,Ventorim et al. 2022,SysBio Chalmers Github,"soil yeast, sometimes pathogen ",SRR10766837,2465,/projectnb/talbot-lab-data/metabolic_models/curated_models/papla/,wget https://github.com/SysBioChalmers/papla-GEM/raw/main/model/papla-GEM.xml,"Validator was down, but this passed Metanet, so I'm assuming it would go through validator. ",Sam,0.08,"Memote is done! but memote report creation got stuck at ""test_consistency"" step again.. i forget how to take this test out :/ I reran using the code that gives extra time and it took ~26 min. It might be helpful to put that step into guidance doc.",,"Metanet won't match the metabolite IDs, even though the metacyc identifiers are present in the annotation. Need to figure out how to reassign ID's from the annotation before passing to metanet"
iMM904,Fungi,Ascomycota,Ascomycota,Ascomycota,Saccharomyces,cerevisiae S288C,,BiGG iMM904,,,1577,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/bigg/iMM904.xml,,,,0.28,,,
iRhto1108,Fungi,Basidiomycota,Basidiomycota,Basidiomycota,Rhodotorula,toruloides IFO0880,Dinh et al. 2019,Maranas Github,oleaginous yeast,,2226,,"Downloaded ""C"" version updated in 2023",,,,,,
Rt_IFO0880,Fungi,Basidiomycota,Basidiomycota,Basidiomycota,Rhodotorula,toruloides IFO0880,Kim et al. 2021,https://github.com/AgileBioFoundry/Rt_IFO0880,oleaginous yeast,,2398,,,"For example, metabolic pathways involving ferricytochrome c were first investigated since duplicate metabolite identifiers exist in BiGG database (ficytc/focytc versus ficytC/focytC). Lactate dehydrogenase and related enzymes involving cytochrome c had many duplicated reactions and incorrect compartment assignments. Cytochrome c oxidase, peroxidase, reductase, NADH:ubiquinone reductase and other mitochondrial electron transport chain reactions were curated. R. toruloides is known to have coenzyme Q9 (ubiquinone-9) with nine isoprenyl units (Yamada and Kondo, 1973), and our lipidomics analysis also detected coenzyme Q9. The ubiquinone synthesis reactions from other existing models were modified to include 9 isoprenyl units. Heme biosynthesis reactions were also manually curated since heme O and heme A synthesis reactions in BiGG database had incorrect stoichiometries.  There were many incorrect reactions involved in fatty acid biosynthesis and beta-oxidation, especially for unsaturated fatty acids. Impossible lumped reactions were removed considering the cis and trans configuration of fatty acids, and irrelevant fatty acid reactions (bacteria or plant specific unsaturated fatty acids) were removed. Long-chain fatty acid biosynthesis and fatty acid desaturase reactions were moved from cytosol to endoplasmic reticulum, and short-chain peroxisomal fatty acid beta-oxidation reactions were moved to mitochondria since R. toruloides possesses both mitochondrial and peroxisomal beta-oxidation enzymes. Sphingolipid metabolism was extended to include sphingolipid desaturase, methyltransferase, and fungal ceramide biosynthesis and the reactions were placed in endoplasmic reticulum. Localization of reactions involved in phospholipid biosynthesis and remodeling, and triacylglycerol were also updated.",,,,,
iRi1574,Fungi,Glomeromycota,Glomeromycota,Glomeromycota,Rhizophagus,irregularis,,github,Arbuscular mycorrhizae,,,"/projectnb2/talbot-lab-data/metabolic_models/curated_models/iRi1574/iRi1574.xml,5417744,1706217358000,283690,644",,"Removed a bunch of sink reactions to allow it to pass Metanet, but the IDs still don't match (same problem as other fungal models)",,,,,
,Fungi,Ascomycota,Ascomycota,,Penicillium,sp.,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1002980,Agren et al. 2013,many species avail,,,,,https://github.com/SysBioChalmers/Penicillium-GEMs/issues/1,,,,,
iZBM1060,Fungi,Basidiomycota,Basidiomycota,,Ganoderma,lucidum strain CGMCC5.26,,Ma et al. 2018,filamentous fungi,,,/projectnb2/talbot-lab-data/metabolic_models/curated_models/iZBM1060/Table 2.xlsx,"No SBML available, only excel reaction files. Reached out to author ",,,,,,
Treesei,Fungi,Ascomycota,Ascomycota,,Trichoderma,reesei,Castillo et al. 2016 ,https://www.ebi.ac.uk/biomodels/MODEL1302010019#Files,filamentous fungi,,,,,"Passes SBML validator, but flux is zero even after setting objective to an ATP reaction",,,,,
iBM3063,Fungi,Ascomycota,Ascomycota,,Lachancea,thermotolerans,Battjes et al. 2023,linked from paper supplement,non-Sac yeast - only sometimes in soil,,,,,Was initially malformed or something - errors in metanetx parser. Growth rate was 80.98 but I capped it at .18 because those are the max predicted values from the paper,,80.98,,,
iCre1355,Plant,Chlorophyta,Chlorophyta,,Chlamydomonas ,reinhardtii,Yao et al. 2023,https://github.com/QCSB/algal-pcFBA/tree/main/model_recon/chlamycyc,green algae,,,,Not sure which file to download,,,,,,
ec_iJN1463,,,,,Pseudomonas,putida KT2440,Bujdos et al. 2023,https://raw.githubusercontent.com/DalimilBujdos/GECKO/master/models/iJN1463/iJN1463.xml,,,2900,/projectnb2/talbot-lab-data/metabolic_models/curated_models/iJN1463/,,Upgraded from BiGG version - not sure which file to download,,,,,
iJN1462,,,,,Pseudomonas,putida KT2440,Nogales et al. 2020,paper supplement,,,2929,,,,,0.736,,,
iKF1028,,,,,Burkholderia,cenocepacia,,https://bmcsystbiol.biomedcentral.com/articles/10.1186/1752-0509-5-83,,,,,,,,,,,
iOR450,,,,,Rhizobium,etli,Resendis-Antonio et al. 2011,,,,,,,,,8.81,,,
,,,,,Comamonas,testosteroni,https://journals.asm.org/doi/10.1128/mbio.03259-21,,,,51,,,,,,,,
iCY1106,Fungi,Mucoromycota,Mucoromycota,,Mortierella,alpina,Ye et al. 2015,,,,1854,,Not from original publication - from Wendering github,added reaction IDs,,0.084,,,
iRL766,Fungi,,,,Ashbya,gossypii,Ledesma-Amaro et al. 2013,,plant pathogen,,,,,,,,,,
iIG743,Bacteria,,,,Sphingopyxis,granuli,Garcia-romero,,,,,,,,,,,,
iJL1454,Fungi,,,,Aspergillus,terreus,Liu et al. 2013,,,,,,"It's in excel format, could parse with something like https://groups.google.com/g/cobra-pie/c/LiQCBouUkfY/m/ebtRuPePEQAJ , or in Matlab like https://github.com/pwendering/RhiirGEM/blob/master/code/analysis/compare_coupling_fungal_models.m",,,,,,
