Unnamed: 0,taxon,Kingdom,Phylum,Class,Order,Family,Genus,accession
1803,Dehalogenimonas etheniformans,Bacteria,Chloroflexota,Dehalococcoidia,,,Dehalogenimonas,
1804,Paenibacillus oryzae,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,
1805,Chitinophaga horti,Bacteria,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga,
1806,Gemmatimonadota bacterium,Bacteria,Gemmatimonadota,,,,,
1807,Vogesella indigofera,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Vogesella,
1808,Streptomyces europaeiscabiei,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
1809,Streptomyces europaeiscabiei,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
1810,Flavobacterium sp. NLM,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,
1811,Aquirufa antheringensis,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Cytophagaceae,Aquirufa,
1812,Altererythrobacter lutimaris,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Altererythrobacter,
1813,Planktosalinus lacus,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Planktosalinus,
1814,Weissella confusa,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,
1815,Actinomyces howellii,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,
1816,Streptomyces griseoruber,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
1817,Streptomyces griseoruber,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
1818,Micromonospora rubida,Bacteria,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Micromonospora,
1819,Cellvibrio sp. KY-GH-1,Bacteria,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,
1820,Mycobacterium shinjukuense,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,
1821,Butyrivibrio fibrisolvens,Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,
1822,Vibrio aquaticus,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
1823,Streptomyces sp. A1-5,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
1824,Streptomyces sp. A1-5,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
1825,Synechococcus sp. CBW1108,Bacteria,Cyanobacteriota,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,
1826,Rhodobacteraceae bacterium HTCC2150,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,,
1827,Occultella glacieicola,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Ruaniaceae,Occultella,
1828,Actinopolyspora mzabensis,Bacteria,Actinomycetota,Actinomycetes,Actinopolysporales,Actinopolysporaceae,Actinopolyspora,
1829,Streptomyces gardneri,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
1830,Streptomyces gardneri,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
1831,Gallionellales bacterium GWA2_54_124,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,,,
1832,Leifsonia sp. Root112D2,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Leifsonia,
1833,Stemphylium lycopersici,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,
1834,Planococcus glaciei,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Planococcus,
1835,Cupriavidus pinatubonensis,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,
1836,Streptomyces sp. MJP52,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
1837,Streptomyces sp. MJP52,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
1838,Streptomyces sp. NBRC 110035,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
1839,Streptomyces sp. NBRC 110035,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
1840,Kineothrix alysoides,Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Kineothrix,
1841,Sulfitobacter sp. SK011,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Sulfitobacter,
1842,Chryseobacterium taichungense,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,
1843,Nocardiopsis alborubida,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,
1844,Corallococcus praedator,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,Corallococcus,
1845,Penicillium polonicum,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,
1846,Lysinibacillus sphaericus,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Lysinibacillus,
1847,Agitococcus lubricus,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Agitococcus,
1848,Actinotignum schaalii,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinotignum,
1849,Dyadobacter sp. 50-39,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Dyadobacter,
1850,Geodermatophilus dictyosporus,Bacteria,Actinomycetota,Actinomycetes,Geodermatophilales,Geodermatophilaceae,Geodermatophilus,
1851,Streptomyces montanisoli,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
1852,Streptomyces montanisoli,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
1853,Kineococcus rhizosphaerae,Bacteria,Actinomycetota,Actinomycetes,Kineosporiales,Kineosporiaceae,Kineococcus,
1854,Methylobacterium sp. Leaf108,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,
1855,Hyphomicrobium facile,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Hyphomicrobium,
1856,Caldilineaceae bacterium SB0664_bin_27,Bacteria,Chloroflexota,Caldilineae,Caldilineales,Caldilineaceae,,
1857,Hyphomicrobium sp. 12-62-95,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Hyphomicrobium,
1858,Erysiphe necator,Eukaryota,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Erysiphe,
1859,Sistotremastrum suecicum,Eukaryota,Basidiomycota,Agaricomycetes,Trechisporales,,Sistotremastrum,
1860,Allopontixanthobacter confluentis,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Allopontixanthobacter,
1861,Sphingomonadaceae bacterium,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,,
1862,Marinobacter alexandrii,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,
1863,Sphingobacterium paludis,Bacteria,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,
1864,Rhodomicrobium sp. Az07,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Rhodomicrobium,
1865,Neiella litorisoli,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Echinimonadaceae,Neiella,
1866,Shewanella schlegeliana,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,
1867,Sulfitobacter sp. BDSS02,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Sulfitobacter,
1868,Nocardioides anomalus,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides,
1869,Sedimentisphaera salicampi,Bacteria,Planctomycetota,Phycisphaerae,Sedimentisphaerales,Sedimentisphaeraceae,Sedimentisphaera,
1870,Hydrogenophaga borbori,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,
1871,Clostridium botulinum,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,
1872,Paenibacillus sp. PL91,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,
1873,Deltaproteobacteria bacterium,Bacteria,Myxococcota,Myxococcia,,,,
1874,Eoetvoesiella caeni,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Eoetvoesiella,
1875,Siccirubricoccus sp. G192,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Siccirubricoccus,
1876,Nitrosomonas mobilis,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosomonas,
1877,Nitrosomonas mobilis,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosomonas,
1878,Nitrosomonas mobilis,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosomonas,
1879,Caballeronia sp. dw_19,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Caballeronia,
1880,Streptomyces fildesensis,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
1881,Streptomyces fildesensis,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
1882,Oceanibacterium hippocampi,Bacteria,Pseudomonadota,Alphaproteobacteria,Sneathiellales,Sneathiellaceae,Oceanibacterium,
1883,Ruegeria sp. 6PALISEP08,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Ruegeria,
1884,Marinobacter sp. X15-166B,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,
1885,Roseovarius pacificus,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Roseovarius,
1886,Arsukibacterium sp. MJ3,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Arsukibacterium,
1887,Micromonospora citrea,Bacteria,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Micromonospora,
1888,Alloactinosynnema sp. L-07,Bacteria,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Alloactinosynnema,
1889,Flavobacterium terrae,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,
1890,Desulfovibrio sp. ZJ209,Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,
1891,Sphingomonas psychrotolerans,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,
1892,Metarhizium brunneum,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,
1893,Biscogniauxia mediterranea,Eukaryota,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,
1894,Mitsuaria sp. WAJ17,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Roseateles,
1895,Nocardioides pocheonensis,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides,
1896,Parafrankia colletiae,Bacteria,Actinomycetota,Actinomycetes,Frankiales,Frankiaceae,Parafrankia,
1897,Actinokineospora globicatena,Bacteria,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Actinokineospora,
1898,uncultured Selenomonadales bacterium,Bacteria,Bacillota,Negativicutes,Selenomonadales,,,
1899,Suillus ampliporus,Eukaryota,Basidiomycota,Agaricomycetes,Boletales,Suillaceae,Suillus,
1900,Streptomyces sp. DI166,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
1901,Streptomyces sp. DI166,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
1902,Bacteroidales bacterium UBA5287,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,,,
1903,Tsukamurella tyrosinosolvens,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Tsukamurellaceae,Tsukamurella,
1904,Sphingomonas sp. Y57,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,
1905,Desulfosporosinus acididurans,Bacteria,Bacillota,Clostridia,Eubacteriales,Desulfitobacteriaceae,Desulfosporosinus,
1906,Nocardiopsis sp. TSRI0078,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,
1907,Cryobacterium fucosi,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Cryobacterium,
1908,Ensifer sp. ENS02,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Ensifer,
1909,Ensifer sp. ENS07,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Ensifer,
1910,Pseudomonas hunanensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
1911,Pseudomonas hunanensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
1912,Pseudomonas hunanensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
1913,Pseudomonas hunanensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
1914,Pseudomonas hunanensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
1915,Pseudomonas hunanensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
1916,Streptomyces sp. NRRL F-6133,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
1917,Streptomyces sp. NRRL F-6133,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
1918,Rugamonas apoptosis,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Rugamonas,
1919,Sphingomonadaceae bacterium 3R27C6,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,,
1920,Bacteroidales bacterium UBA5342,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,,,
1921,Streptococcus oralis,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,
1922,Aeromicrobium sp. Root344,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Aeromicrobium,
1923,Blastobotrys raffinosifermentans,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Trichomonascaceae,Blastobotrys,
1924,Iodobacter fluviatilis,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Chitinibacteraceae,Iodobacter,
1925,Arthrobacter sp. SLBN-100,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter,
1926,Dokdonella sp.,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dokdonella,
1927,Xanthomonas albilineans,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,
1928,Lysobacter antibioticus,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,
1929,Nonomuraea africana,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Nonomuraea,
1930,Pseudomonas palleroniana,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
1931,Pseudomonas palleroniana,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
1932,Pseudomonas palleroniana,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
1933,Pseudomonas palleroniana,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
1934,Pseudomonas palleroniana,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
1935,Pseudomonas palleroniana,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
1936,Desulfobotulus mexicanus,Bacteria,Thermodesulfobacteriota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobotulus,
1937,Phormidium sp. LEGE 05292,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Phormidium,
1938,Pantoea sp. A4,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,
1939,Mariprofundus aestuarium,Bacteria,Pseudomonadota,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,
1940,Paracoccus subflavus,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Paracoccus,
1941,Roseococcus thiosulfatophilus,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseococcus,
1942,Stenotrophobium rhamnosiphilum,Bacteria,Pseudomonadota,Gammaproteobacteria,Nevskiales,Nevskiaceae,Stenotrophobium,
1943,Halobacterium sp. R2-5,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,
1944,Neisseria canis,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,
1945,Anaerocolumna chitinilytica,Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,
1946,Planctomycetes bacterium MalM25,Bacteria,Planctomycetota,,,,,
1947,Pseudomonas pisciculturae,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
1948,Pseudomonas pisciculturae,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
1949,Pseudomonas pisciculturae,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
1950,Pseudomonas pisciculturae,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
1951,Pseudomonas pisciculturae,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
1952,Pseudomonas pisciculturae,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
1953,Bacillus sp. REN3,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
1954,Prolixibacter sp. SD074,Bacteria,Bacteroidota,Bacteroidia,Marinilabiliales,Prolixibacteraceae,Prolixibacter,
1955,Xanthomonas dyei,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,
1956,Dickeya lacustris,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Dickeya,
1957,Sphingobacterium lumbrici,Bacteria,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,
1958,Desulfosporosinus sp. FKB,Bacteria,Bacillota,Clostridia,Eubacteriales,Desulfitobacteriaceae,Desulfosporosinus,
1959,Streptomyces sp. DvalAA-43,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
1960,Streptomyces sp. DvalAA-43,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
1961,Thermus composti,Bacteria,Deinococcota,Deinococci,Thermales,Thermaceae,Thermus,
1962,Nocardioides ganghwensis,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides,
1963,Paenarthrobacter histidinolovorans,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Paenarthrobacter,
1964,Pseudomonas mangrovi,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
1965,Pseudomonas mangrovi,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
1966,Pseudomonas mangrovi,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
1967,Pseudomonas mangrovi,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
1968,Pseudomonas mangrovi,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
1969,Pseudomonas mangrovi,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
1970,Chloroflexus sp. Y-396-1,Bacteria,Chloroflexota,Chloroflexia,Chloroflexales,Chloroflexaceae,Chloroflexus,
1971,Hyphomicrobiales bacterium,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,,,
1972,Mariprofundus sp. KV,Bacteria,Pseudomonadota,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,
1973,Saccharata proteae,Eukaryota,Ascomycota,Dothideomycetes,Botryosphaeriales,Saccharataceae,Saccharata,
1974,Hymenobacter jeollabukensis,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,
1975,uncultured Candidatus Thioglobus sp.,Bacteria,Pseudomonadota,Gammaproteobacteria,,,Candidatus Thioglobus,
1976,Streptomyces sp. BHT-5-2,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
1977,Streptomyces sp. BHT-5-2,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
1978,Luteimonas sp. S4-F44,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,
1979,Aeromonas lusitana,Bacteria,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,
1980,Olsenella sp. SW781,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olsenella,
1981,Clostridium sp. C2-6-12,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,
1982,Methylophilus sp. 13,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,Methylophilus,
1983,Leotiomycetes sp.,Eukaryota,Ascomycota,Leotiomycetes,,,,
1984,Corynebacterium urealyticum,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,
1985,Caballeronia jiangsuensis,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Caballeronia,
1986,Rhodoferax bucti,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,
1987,Streptomyces sp. TRM70350,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
1988,Streptomyces sp. TRM70350,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
1989,Deinobacterium chartae,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinobacterium,
1990,Christiangramia aestuarii,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Christiangramia,
1991,Pseudomonas panipatensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
1992,Pseudomonas panipatensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
1993,Pseudomonas panipatensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
1994,Pseudomonas panipatensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
1995,Pseudomonas panipatensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
1996,Pseudomonas panipatensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
1997,Jiella mangrovi,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Aurantimonadaceae,Jiella,
1998,Methylibium sp.,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Methylibium,
1999,Paraburkholderia hiiakae,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,
2000,endosymbiont of unidentified scaly snail isolate Monju,Bacteria,Pseudomonadota,Gammaproteobacteria,,,,
2001,Pseudomonas hygromyciniae,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
2002,Pseudomonas hygromyciniae,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
2003,Pseudomonas hygromyciniae,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
2004,Pseudomonas hygromyciniae,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
2005,Pseudomonas hygromyciniae,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
2006,Pseudomonas hygromyciniae,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
2007,Streptomyces nodosus,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
2008,Streptomyces nodosus,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
2009,Thiococcus pfennigii,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Thiococcus,
2010,Spongiivirga citrea,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Spongiivirga,
2011,Rhizobium sp. Root1334,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,
