Row,Speciesofinterest,match_by,GEM_ID,Genomesource,Functional in COMETS
1731,Sphingomonas sp. UV9,No curated GEM at species or genus level,NA,GTDB,No
1732,Neobacillus mesonae,No curated GEM at species or genus level,NA,GTDB,No
1733,Pseudomonas sp. PDM30,Genus,iJN746,JGI GOLD,No
1734,Pseudomonas sp. PDM30,Genus,riPB890,JGI GOLD,No
1735,Pseudomonas sp. PDM30,Genus,riJN746,JGI GOLD,No
1736,Pseudomonas sp. PDM30,Genus,1YdBTEX2,JGI GOLD,No
1737,Pseudomonas sp. PDM30,Genus,ec_iJN1463,JGI GOLD,No
1738,Pseudomonas sp. PDM30,Genus,iJN1462,JGI GOLD,No
1739,Paludibacterium sp. B53371,No curated GEM at species or genus level,NA,GTDB,No
1740,Halolamina pelagica,No curated GEM at species or genus level,NA,GTDB,No
1741,Streptomyces akebiae,Genus,salb,JGI GOLD,No
1742,Streptomyces akebiae,Genus,sco,JGI GOLD,No
1743,bacterium AM6,No curated GEM at species or genus level,NA,JGI GOLD,No
1744,Corynebacterium coyleae,Genus,iCW773,GTDB,No
1745,Agromyces sp. S2-1-8,No curated GEM at species or genus level,NA,JGI GOLD,No
1746,Cadophora sp. DSE1049,No curated GEM at species or genus level,NA,Mycocosm,No
1747,bacterium 1xD42-87,No curated GEM at species or genus level,NA,GTDB,No
1748,Mesorhizobium comanense,No curated GEM at species or genus level,NA,GTDB,No
1749,Chitinophaga sedimenti,No curated GEM at species or genus level,NA,JGI GOLD,No
1750,Xanthomonas sacchari,No curated GEM at species or genus level,NA,GTDB,No
1751,Enterobacter sp. kpr-6,No curated GEM at species or genus level,NA,GTDB,No
1752,Sporolactobacillus sp. THM7-4,No curated GEM at species or genus level,NA,GTDB,No
1753,Burkholderia sp. LA-2-3-30-S1-D2,Genus,iKF1028,JGI GOLD,No
1754,Negativicoccus massiliensis,No curated GEM at species or genus level,NA,GTDB,No
1755,Mariprofundaceae bacterium,No curated GEM at species or genus level,NA,GTDB,No
1756,Pseudomonas quercus,Genus,iJN746,GTDB,No
1757,Pseudomonas quercus,Genus,riPB890,GTDB,No
1758,Pseudomonas quercus,Genus,riJN746,GTDB,No
1759,Pseudomonas quercus,Genus,1YdBTEX2,GTDB,No
1760,Pseudomonas quercus,Genus,ec_iJN1463,GTDB,No
1761,Pseudomonas quercus,Genus,iJN1462,GTDB,No
1762,Bradyrhizobiaceae bacterium PARB1,No curated GEM at species or genus level,NA,GTDB,No
1763,Sphingomonas sp. PAMC 26621,No curated GEM at species or genus level,NA,GTDB,No
1764,Desulfonatronum thiodismutans,No curated GEM at species or genus level,NA,GTDB,No
1765,uncultured Duncaniella sp.,No curated GEM at species or genus level,NA,GTDB,No
1766,Tepidimonas sediminis,No curated GEM at species or genus level,NA,GTDB,No
1767,Acidiphilium rubrum,No curated GEM at species or genus level,NA,GTDB,No
1768,Puniceicoccus vermicola,No curated GEM at species or genus level,NA,GTDB,No
1769,Ignavibacteria bacterium UBA7675,No curated GEM at species or genus level,NA,GTDB,No
1770,Leucobacter sp. 7(1),No curated GEM at species or genus level,NA,GTDB,No
1771,Limnohabitans sp. MMS-10A-192,No curated GEM at species or genus level,NA,GTDB,No
1772,Mesorhizobium sp. M1B.F.Ca.ET.045.04.1.1,No curated GEM at species or genus level,NA,GTDB,No
1773,Sphingomonas sp. IC081,No curated GEM at species or genus level,NA,GTDB,No
1774,Micromonospora sp. M71_S20,No curated GEM at species or genus level,NA,GTDB,No
1775,Lampropedia puyangensis,No curated GEM at species or genus level,NA,GTDB,No
1776,Gimesia chilikensis,No curated GEM at species or genus level,NA,GTDB,No
1777,Nocardioides sp. Soil805,No curated GEM at species or genus level,NA,GTDB,No
1778,Streptomyces sp. B4I13,Genus,salb,JGI GOLD,No
1779,Streptomyces sp. B4I13,Genus,sco,JGI GOLD,No
1780,Pseudomonadaceae bacterium,No curated GEM at species or genus level,NA,GTDB,No
1781,Fundidesulfovibrio soli,No curated GEM at species or genus level,NA,JGI GOLD,No
1782,Cryobacterium melibiosiphilum,No curated GEM at species or genus level,NA,GTDB,No
1783,Calothrix sp. PCC 7103,No curated GEM at species or genus level,NA,GTDB,No
1784,Prevotella sp. MA2016,No curated GEM at species or genus level,NA,GTDB,No
1785,Glutamicibacter sp. JC586,No curated GEM at species or genus level,NA,GTDB,No
1786,Bacillus sp. Soil768D1,Genus,NA,JGI GOLD,No
1787,Flavobacteriales bacterium UBA6051,No curated GEM at species or genus level,NA,GTDB,No
1788,Saccharothrix variisporea,No curated GEM at species or genus level,NA,GTDB,No
1789,Thermoflavimicrobium dichotomicum,No curated GEM at species or genus level,NA,GTDB,No
1790,Curtobacterium sp. MCJR17_055,No curated GEM at species or genus level,NA,GTDB,No
1791,Sphingomonas bacterium,No curated GEM at species or genus level,NA,GTDB,No
1792,Streptomyces puniciscabiei,Genus,salb,GTDB,No
1793,Streptomyces puniciscabiei,Genus,sco,GTDB,No
1794,Rhodovulum sp. PH10,No curated GEM at species or genus level,NA,GTDB,No
1795,Paenibacillus sp. CF384,No curated GEM at species or genus level,NA,GTDB,No
1796,Mixta theicola,No curated GEM at species or genus level,NA,GTDB,No
1797,Rhizobacter sp. AJA081-3,No curated GEM at species or genus level,NA,GTDB,No
1798,Nocardioides sp. Root122,No curated GEM at species or genus level,NA,GTDB,No
1799,Sphingobacterium cellulitidis,No curated GEM at species or genus level,NA,GTDB,No
1800,Microbacterium nanhaiense,No curated GEM at species or genus level,NA,GTDB,No
1801,Phycicoccus sp.,No curated GEM at species or genus level,NA,GTDB,No
1802,Cyclobacterium lianum,No curated GEM at species or genus level,NA,GTDB,No
1803,Dehalogenimonas etheniformans,No curated GEM at species or genus level,NA,JGI GOLD,No
1804,Paenibacillus oryzae,No curated GEM at species or genus level,NA,GTDB,No
1805,Chitinophaga horti,No curated GEM at species or genus level,NA,JGI GOLD,No
1806,Gemmatimonadota bacterium,No curated GEM at species or genus level,NA,SMAG,No
1807,Vogesella indigofera,No curated GEM at species or genus level,NA,GTDB,No
1808,Streptomyces europaeiscabiei,Genus,salb,GTDB,No
1809,Streptomyces europaeiscabiei,Genus,sco,GTDB,No
1810,Flavobacterium sp. NLM,No curated GEM at species or genus level,NA,GTDB,No
1811,Aquirufa antheringensis,No curated GEM at species or genus level,NA,GTDB,No
1812,Altererythrobacter lutimaris,No curated GEM at species or genus level,NA,GTDB,No
1813,Planktosalinus lacus,No curated GEM at species or genus level,NA,GTDB,No
1814,Weissella confusa,No curated GEM at species or genus level,NA,GTDB,No
1815,Actinomyces howellii,No curated GEM at species or genus level,NA,GTDB,No
1816,Streptomyces griseoruber,Genus,salb,GTDB,No
1817,Streptomyces griseoruber,Genus,sco,GTDB,No
1818,Micromonospora rubida,No curated GEM at species or genus level,NA,GTDB,No
1819,Cellvibrio sp. KY-GH-1,No curated GEM at species or genus level,NA,GTDB,No
1820,Mycobacterium shinjukuense,No curated GEM at species or genus level,NA,GTDB,No
1821,Butyrivibrio fibrisolvens,No curated GEM at species or genus level,NA,GTDB,No
1822,Vibrio aquaticus,No curated GEM at species or genus level,NA,GTDB,No
1823,Streptomyces sp. A1-5,Genus,salb,JGI GOLD,No
1824,Streptomyces sp. A1-5,Genus,sco,JGI GOLD,No
1825,Synechococcus sp. CBW1108,No curated GEM at species or genus level,NA,GTDB,No
1826,Rhodobacteraceae bacterium HTCC2150,No curated GEM at species or genus level,NA,GTDB,No
1827,Occultella glacieicola,No curated GEM at species or genus level,NA,GTDB,No
1828,Actinopolyspora mzabensis,No curated GEM at species or genus level,NA,GTDB,No
1829,Streptomyces gardneri,Genus,salb,GTDB,No
1830,Streptomyces gardneri,Genus,sco,GTDB,No
1831,Gallionellales bacterium GWA2_54_124,No curated GEM at species or genus level,NA,GTDB,No
1832,Leifsonia sp. Root112D2,No curated GEM at species or genus level,NA,GTDB,No
1833,Stemphylium lycopersici,No curated GEM at species or genus level,NA,Mycocosm,No
1834,Planococcus glaciei,No curated GEM at species or genus level,NA,GTDB,No
1835,Cupriavidus pinatubonensis,No curated GEM at species or genus level,NA,JGI GOLD,No
1836,Streptomyces sp. MJP52,Genus,salb,JGI GOLD,No
1837,Streptomyces sp. MJP52,Genus,sco,JGI GOLD,No
1838,Streptomyces sp. NBRC 110035,Genus,salb,GTDB,No
1839,Streptomyces sp. NBRC 110035,Genus,sco,GTDB,No
1840,Kineothrix alysoides,No curated GEM at species or genus level,NA,GTDB,No
1841,Sulfitobacter sp. SK011,No curated GEM at species or genus level,NA,GTDB,No
1842,Chryseobacterium taichungense,No curated GEM at species or genus level,NA,GTDB,No
1843,Nocardiopsis alborubida,No curated GEM at species or genus level,NA,GTDB,No
1844,Corallococcus praedator,No curated GEM at species or genus level,NA,JGI GOLD,No
1845,Penicillium polonicum,Genus,NA,Mycocosm,No
1846,Lysinibacillus sphaericus,No curated GEM at species or genus level,NA,GTDB,No
1847,Agitococcus lubricus,No curated GEM at species or genus level,NA,GTDB,No
1848,Actinotignum schaalii,No curated GEM at species or genus level,NA,GTDB,No
1849,Dyadobacter sp. 50-39,No curated GEM at species or genus level,NA,GTDB,No
1850,Geodermatophilus dictyosporus,No curated GEM at species or genus level,NA,GTDB,No
1851,Streptomyces montanisoli,Genus,salb,GTDB,No
1852,Streptomyces montanisoli,Genus,sco,GTDB,No
1853,Kineococcus rhizosphaerae,No curated GEM at species or genus level,NA,GTDB,No
1854,Methylobacterium sp. Leaf108,No curated GEM at species or genus level,NA,GTDB,No
1855,Hyphomicrobium facile,No curated GEM at species or genus level,NA,GTDB,No
1856,Caldilineaceae bacterium SB0664_bin_27,No curated GEM at species or genus level,NA,GTDB,No
1857,Hyphomicrobium sp. 12-62-95,No curated GEM at species or genus level,NA,GTDB,No
1858,Erysiphe necator,No curated GEM at species or genus level,NA,Mycocosm,No
1859,Sistotremastrum suecicum,No curated GEM at species or genus level,NA,Mycocosm,No
1860,Allopontixanthobacter confluentis,No curated GEM at species or genus level,NA,GTDB,No
1861,Sphingomonadaceae bacterium,No curated GEM at species or genus level,NA,GTDB,No
1862,Marinobacter alexandrii,No curated GEM at species or genus level,NA,GTDB,No
1863,Sphingobacterium paludis,No curated GEM at species or genus level,NA,GTDB,No
1864,Rhodomicrobium sp. Az07,No curated GEM at species or genus level,NA,GTDB,No
1865,Neiella litorisoli,No curated GEM at species or genus level,NA,GTDB,No
1866,Shewanella schlegeliana,No curated GEM at species or genus level,NA,GTDB,No
1867,Sulfitobacter sp. BDSS02,No curated GEM at species or genus level,NA,GTDB,No
1868,Nocardioides anomalus,No curated GEM at species or genus level,NA,GTDB,No
1869,Sedimentisphaera salicampi,No curated GEM at species or genus level,NA,GTDB,No
1870,Hydrogenophaga borbori,No curated GEM at species or genus level,NA,GTDB,No
1871,Clostridium botulinum,Genus,ec_iHN637,JGI GOLD,No
1872,Paenibacillus sp. PL91,No curated GEM at species or genus level,NA,GTDB,No
1873,Deltaproteobacteria bacterium,No curated GEM at species or genus level,NA,SMAG,No
1874,Eoetvoesiella caeni,No curated GEM at species or genus level,NA,GTDB,No
1875,Siccirubricoccus sp. G192,No curated GEM at species or genus level,NA,GTDB,No
1876,Nitrosomonas mobilis,Genus,NEU,GTDB,No
1877,Nitrosomonas mobilis,Genus,NET,GTDB,No
1878,Nitrosomonas mobilis,Genus,iFC578,GTDB,No
1879,Caballeronia sp. dw_19,No curated GEM at species or genus level,NA,GTDB,No
1880,Streptomyces fildesensis,Genus,salb,GTDB,No
1881,Streptomyces fildesensis,Genus,sco,GTDB,No
1882,Oceanibacterium hippocampi,No curated GEM at species or genus level,NA,GTDB,No
1883,Ruegeria sp. 6PALISEP08,No curated GEM at species or genus level,NA,GTDB,No
1884,Marinobacter sp. X15-166B,No curated GEM at species or genus level,NA,GTDB,No
1885,Roseovarius pacificus,No curated GEM at species or genus level,NA,GTDB,No
1886,Arsukibacterium sp. MJ3,No curated GEM at species or genus level,NA,GTDB,No
1887,Micromonospora citrea,No curated GEM at species or genus level,NA,GTDB,No
1888,Alloactinosynnema sp. L-07,No curated GEM at species or genus level,NA,GTDB,No
1889,Flavobacterium terrae,No curated GEM at species or genus level,NA,GTDB,No
1890,Desulfovibrio sp. ZJ209,No curated GEM at species or genus level,NA,GTDB,No
1891,Sphingomonas psychrotolerans,No curated GEM at species or genus level,NA,GTDB,No
1892,Metarhizium brunneum,No curated GEM at species or genus level,NA,Mycocosm,No
1893,Biscogniauxia mediterranea,No curated GEM at species or genus level,NA,Mycocosm,No
1894,Mitsuaria sp. WAJ17,No curated GEM at species or genus level,NA,GTDB,No
1895,Nocardioides pocheonensis,No curated GEM at species or genus level,NA,GTDB,No
1896,Parafrankia colletiae,No curated GEM at species or genus level,NA,GTDB,No
1897,Actinokineospora globicatena,No curated GEM at species or genus level,NA,JGI GOLD,No
1898,uncultured Selenomonadales bacterium,No curated GEM at species or genus level,NA,GTDB,No
1899,Suillus ampliporus,No curated GEM at species or genus level,NA,Mycocosm,No
1900,Streptomyces sp. DI166,Genus,salb,GTDB,No
1901,Streptomyces sp. DI166,Genus,sco,GTDB,No
1902,Bacteroidales bacterium UBA5287,No curated GEM at species or genus level,NA,GTDB,No
1903,Tsukamurella tyrosinosolvens,No curated GEM at species or genus level,NA,JGI GOLD,No
1904,Sphingomonas sp. Y57,No curated GEM at species or genus level,NA,GTDB,No
1905,Desulfosporosinus acididurans,No curated GEM at species or genus level,NA,GTDB,No
1906,Nocardiopsis sp. TSRI0078,No curated GEM at species or genus level,NA,GTDB,No
1907,Cryobacterium fucosi,No curated GEM at species or genus level,NA,GTDB,No
1908,Ensifer sp. ENS02,No curated GEM at species or genus level,NA,JGI GOLD,No
1909,Ensifer sp. ENS07,No curated GEM at species or genus level,NA,JGI GOLD,No
1910,Pseudomonas hunanensis,Genus,iJN746,JGI GOLD,No
1911,Pseudomonas hunanensis,Genus,riPB890,JGI GOLD,No
1912,Pseudomonas hunanensis,Genus,riJN746,JGI GOLD,No
1913,Pseudomonas hunanensis,Genus,1YdBTEX2,JGI GOLD,No
1914,Pseudomonas hunanensis,Genus,ec_iJN1463,JGI GOLD,No
1915,Pseudomonas hunanensis,Genus,iJN1462,JGI GOLD,No
1916,Streptomyces sp. NRRL F-6133,Genus,salb,JGI GOLD,No
1917,Streptomyces sp. NRRL F-6133,Genus,sco,JGI GOLD,No
1918,Rugamonas apoptosis,No curated GEM at species or genus level,NA,GTDB,No
1919,Sphingomonadaceae bacterium 3R27C6,No curated GEM at species or genus level,NA,GTDB,No
1920,Bacteroidales bacterium UBA5342,No curated GEM at species or genus level,NA,GTDB,No
1921,Streptococcus oralis,No curated GEM at species or genus level,NA,GTDB,No
1922,Aeromicrobium sp. Root344,No curated GEM at species or genus level,NA,GTDB,No
1923,Blastobotrys raffinosifermentans,No curated GEM at species or genus level,NA,Mycocosm,No
1924,Iodobacter fluviatilis,No curated GEM at species or genus level,NA,GTDB,No
1925,Arthrobacter sp. SLBN-100,Genus,NA,GTDB,No
1926,Dokdonella sp.,No curated GEM at species or genus level,NA,GTDB,No
1927,Xanthomonas albilineans,No curated GEM at species or genus level,NA,GTDB,No
1928,Lysobacter antibioticus,No curated GEM at species or genus level,NA,GTDB,No
1929,Nonomuraea africana,No curated GEM at species or genus level,NA,GTDB,No
1930,Pseudomonas palleroniana,Genus,iJN746,GTDB,No
1931,Pseudomonas palleroniana,Genus,riPB890,GTDB,No
1932,Pseudomonas palleroniana,Genus,riJN746,GTDB,No
1933,Pseudomonas palleroniana,Genus,1YdBTEX2,GTDB,No
1934,Pseudomonas palleroniana,Genus,ec_iJN1463,GTDB,No
1935,Pseudomonas palleroniana,Genus,iJN1462,GTDB,No
1936,Desulfobotulus mexicanus,No curated GEM at species or genus level,NA,GTDB,No
1937,Phormidium sp. LEGE 05292,No curated GEM at species or genus level,NA,GTDB,No
1938,Pantoea sp. A4,No curated GEM at species or genus level,NA,GTDB,No
1939,Mariprofundus aestuarium,No curated GEM at species or genus level,NA,GTDB,No
1940,Paracoccus subflavus,No curated GEM at species or genus level,NA,GTDB,No
1941,Roseococcus thiosulfatophilus,No curated GEM at species or genus level,NA,GTDB,No
1942,Stenotrophobium rhamnosiphilum,No curated GEM at species or genus level,NA,GTDB,No
1943,Halobacterium sp. R2-5,No curated GEM at species or genus level,NA,GTDB,No
1944,Neisseria canis,No curated GEM at species or genus level,NA,GTDB,No
1945,Anaerocolumna chitinilytica,No curated GEM at species or genus level,NA,GTDB,No
1946,Planctomycetes bacterium MalM25,No curated GEM at species or genus level,NA,GTDB,No
1947,Pseudomonas pisciculturae,Genus,iJN746,GTDB,No
1948,Pseudomonas pisciculturae,Genus,riPB890,GTDB,No
1949,Pseudomonas pisciculturae,Genus,riJN746,GTDB,No
1950,Pseudomonas pisciculturae,Genus,1YdBTEX2,GTDB,No
1951,Pseudomonas pisciculturae,Genus,ec_iJN1463,GTDB,No
1952,Pseudomonas pisciculturae,Genus,iJN1462,GTDB,No
1953,Bacillus sp. REN3,Genus,NA,GTDB,No
1954,Prolixibacter sp. SD074,No curated GEM at species or genus level,NA,GTDB,No
1955,Xanthomonas dyei,No curated GEM at species or genus level,NA,GTDB,No
1956,Dickeya lacustris,No curated GEM at species or genus level,NA,GTDB,No
1957,Sphingobacterium lumbrici,No curated GEM at species or genus level,NA,GTDB,No
1958,Desulfosporosinus sp. FKB,No curated GEM at species or genus level,NA,GTDB,No
1959,Streptomyces sp. DvalAA-43,Genus,salb,GTDB,No
1960,Streptomyces sp. DvalAA-43,Genus,sco,GTDB,No
1961,Thermus composti,No curated GEM at species or genus level,NA,GTDB,No
1962,Nocardioides ganghwensis,No curated GEM at species or genus level,NA,GTDB,No
1963,Paenarthrobacter histidinolovorans,Genus,iRZ1179,GTDB,No
1964,Pseudomonas mangrovi,Genus,iJN746,GTDB,No
1965,Pseudomonas mangrovi,Genus,riPB890,GTDB,No
1966,Pseudomonas mangrovi,Genus,riJN746,GTDB,No
1967,Pseudomonas mangrovi,Genus,1YdBTEX2,GTDB,No
1968,Pseudomonas mangrovi,Genus,ec_iJN1463,GTDB,No
1969,Pseudomonas mangrovi,Genus,iJN1462,GTDB,No
1970,Chloroflexus sp. Y-396-1,No curated GEM at species or genus level,NA,GTDB,No
1971,Hyphomicrobiales bacterium,No curated GEM at species or genus level,NA,SMAG,No
1972,Mariprofundus sp. KV,No curated GEM at species or genus level,NA,GTDB,No
1973,Saccharata proteae,No curated GEM at species or genus level,NA,Mycocosm,No
1974,Hymenobacter jeollabukensis,No curated GEM at species or genus level,NA,GTDB,No
1975,uncultured Candidatus Thioglobus sp.,No curated GEM at species or genus level,NA,GTDB,No
1976,Streptomyces sp. BHT-5-2,Genus,salb,JGI GOLD,No
1977,Streptomyces sp. BHT-5-2,Genus,sco,JGI GOLD,No
1978,Luteimonas sp. S4-F44,No curated GEM at species or genus level,NA,JGI GOLD,No
1979,Aeromonas lusitana,No curated GEM at species or genus level,NA,GTDB,No
1980,Olsenella sp. SW781,No curated GEM at species or genus level,NA,GTDB,No
1981,Clostridium sp. C2-6-12,Genus,ec_iHN637,GTDB,No
1982,Methylophilus sp. 13,No curated GEM at species or genus level,NA,GTDB,No
1983,Leotiomycetes sp.,No curated GEM at species or genus level,NA,Mycocosm,No
1984,Corynebacterium urealyticum,Genus,iCW773,SPIRE_MAGs,No
1985,Caballeronia jiangsuensis,No curated GEM at species or genus level,NA,GTDB,No
1986,Rhodoferax bucti,No curated GEM at species or genus level,NA,GTDB,No
1987,Streptomyces sp. TRM70350,Genus,salb,GTDB,No
1988,Streptomyces sp. TRM70350,Genus,sco,GTDB,No
1989,Deinobacterium chartae,No curated GEM at species or genus level,NA,GTDB,No
1990,Christiangramia aestuarii,No curated GEM at species or genus level,NA,GTDB,No
1991,Pseudomonas panipatensis,Genus,iJN746,GTDB,No
1992,Pseudomonas panipatensis,Genus,riPB890,GTDB,No
1993,Pseudomonas panipatensis,Genus,riJN746,GTDB,No
1994,Pseudomonas panipatensis,Genus,1YdBTEX2,GTDB,No
1995,Pseudomonas panipatensis,Genus,ec_iJN1463,GTDB,No
1996,Pseudomonas panipatensis,Genus,iJN1462,GTDB,No
1997,Jiella mangrovi,No curated GEM at species or genus level,NA,GTDB,No
1998,Methylibium sp.,No curated GEM at species or genus level,NA,SMAG,No
1999,Paraburkholderia hiiakae,No curated GEM at species or genus level,NA,GTDB,No
2000,endosymbiont of unidentified scaly snail isolate Monju,No curated GEM at species or genus level,NA,GTDB,No
2001,Pseudomonas hygromyciniae,Genus,iJN746,GTDB,No
2002,Pseudomonas hygromyciniae,Genus,riPB890,GTDB,No
2003,Pseudomonas hygromyciniae,Genus,riJN746,GTDB,No
2004,Pseudomonas hygromyciniae,Genus,1YdBTEX2,GTDB,No
2005,Pseudomonas hygromyciniae,Genus,ec_iJN1463,GTDB,No
2006,Pseudomonas hygromyciniae,Genus,iJN1462,GTDB,No
2007,Streptomyces nodosus,Genus,salb,JGI GOLD,No
2008,Streptomyces nodosus,Genus,sco,JGI GOLD,No
2009,Thiococcus pfennigii,No curated GEM at species or genus level,NA,GTDB,No
2010,Spongiivirga citrea,No curated GEM at species or genus level,NA,GTDB,No
2011,Rhizobium sp. Root1334,Genus,iOR450,GTDB,No
2012,Pseudomonas cavernicola,Genus,iJN746,GTDB,No
2013,Pseudomonas cavernicola,Genus,riPB890,GTDB,No
2014,Pseudomonas cavernicola,Genus,riJN746,GTDB,No
2015,Pseudomonas cavernicola,Genus,1YdBTEX2,GTDB,No
2016,Pseudomonas cavernicola,Genus,ec_iJN1463,GTDB,No
2017,Pseudomonas cavernicola,Genus,iJN1462,GTDB,No
2018,Terfezia boudieri,No curated GEM at species or genus level,NA,Mycocosm,No
2019,Microcystis sp. T1-4,No curated GEM at species or genus level,NA,GTDB,No
2020,Bacillus sp. FJAT-27225,Genus,NA,GTDB,No
2021,Bacteroidetes bacterium CG12_big_fil_rev_8_21_14_0_65_60_17,No curated GEM at species or genus level,NA,GTDB,No
2022,Roseovarius litorisediminis,No curated GEM at species or genus level,NA,GTDB,No
2023,Aromatoleum evansii,No curated GEM at species or genus level,NA,GTDB,No
2024,Oricola cellulosilytica,No curated GEM at species or genus level,NA,GTDB,No
2025,Enterocloster alcoholdehydrogenati,No curated GEM at species or genus level,NA,GTDB,No
2026,Novosphingobium umbonatum,No curated GEM at species or genus level,NA,GTDB,No
2027,uncultured Subdoligranulum sp.,No curated GEM at species or genus level,NA,GTDB,No
2028,Algoriphagus iocasae,No curated GEM at species or genus level,NA,GTDB,No
2029,Streptomyces sp. SID13588,Genus,salb,JGI GOLD,No
2030,Streptomyces sp. SID13588,Genus,sco,JGI GOLD,No
2031,Neoroseomonas terrae,No curated GEM at species or genus level,NA,GTDB,No
2032,Labrys okinawensis,No curated GEM at species or genus level,NA,GTDB,No
2033,Pseudomonas sp. GV085,Genus,iJN746,GTDB,No
2034,Pseudomonas sp. GV085,Genus,riPB890,GTDB,No
2035,Pseudomonas sp. GV085,Genus,riJN746,GTDB,No
2036,Pseudomonas sp. GV085,Genus,1YdBTEX2,GTDB,No
2037,Pseudomonas sp. GV085,Genus,ec_iJN1463,GTDB,No
2038,Pseudomonas sp. GV085,Genus,iJN1462,GTDB,No
2039,Oerskovia enterophila,No curated GEM at species or genus level,NA,GTDB,No
2040,Actinopolyspora righensis,No curated GEM at species or genus level,NA,GTDB,No
2041,Jiangella alkaliphila,No curated GEM at species or genus level,NA,GTDB,No
2042,Gluconobacter kondonii,No curated GEM at species or genus level,NA,GTDB,No
2043,Mobilisporobacter senegalensis,No curated GEM at species or genus level,NA,GTDB,No
2044,Streptomyces mangrovisoli,Genus,salb,GTDB,No
2045,Streptomyces mangrovisoli,Genus,sco,GTDB,No
2046,Pleurocapsales cyanobacterium LEGE 06147,No curated GEM at species or genus level,NA,GTDB,No
2047,Undibacterium baiyunense,No curated GEM at species or genus level,NA,GTDB,No
2048,Dorea sp. D27,No curated GEM at species or genus level,NA,GTDB,No
2049,Chromohalobacter israelensis,No curated GEM at species or genus level,NA,GTDB,No
2050,Actinoplanes cyaneus,No curated GEM at species or genus level,NA,GTDB,No
2051,Prescottella defluvii,No curated GEM at species or genus level,NA,GTDB,No
2052,Bowmanella pacifica,No curated GEM at species or genus level,NA,GTDB,No
2053,Flammeovirgaceae bacterium UBA7330,No curated GEM at species or genus level,NA,GTDB,No
2054,Mangrovihabitans endophyticus,No curated GEM at species or genus level,NA,GTDB,No
2055,Candidatus Mailhella merdavium,No curated GEM at species or genus level,NA,GTDB,No
2056,Thermomonas aquatica,No curated GEM at species or genus level,NA,GTDB,No
2057,Cellulomonas sp. 73-92,No curated GEM at species or genus level,NA,GTDB,No
2058,uncultured Bacteroides sp.,No curated GEM at species or genus level,NA,GTDB,No
2059,Salimicrobium halophilum,No curated GEM at species or genus level,NA,GTDB,No
2060,Thelephora ganbajun,No curated GEM at species or genus level,NA,Mycocosm,No
2061,Nocardia sp. BMG51109,No curated GEM at species or genus level,NA,GTDB,No
2062,Arthrobacter sp. ISL-65,Genus,NA,GTDB,No
2063,Meiothermus sp. CFH 77666,No curated GEM at species or genus level,NA,GTDB,No
2064,Sphingomonas sp. CL5.1,No curated GEM at species or genus level,NA,GTDB,No
2065,Chitinispirillum sp.,No curated GEM at species or genus level,NA,GTDB,No
2066,Bacteroidia bacterium Ga0077558,No curated GEM at species or genus level,NA,GTDB,No
2067,Paenibacillus sp. 1_12,No curated GEM at species or genus level,NA,GTDB,No
2068,Streptomyces sp. Root431,Genus,salb,GTDB,No
2069,Streptomyces sp. Root431,Genus,sco,GTDB,No
2070,Agreia sp. COWG,No curated GEM at species or genus level,NA,GTDB,No
2071,Neoantrodia serialis,No curated GEM at species or genus level,NA,Mycocosm,No
2072,Mycolicibacterium sp. P1-18,No curated GEM at species or genus level,NA,GTDB,No
2073,Arthrobacter gallicola,Genus,NA,GTDB,No
2074,Jeongeupia naejangsanensis,No curated GEM at species or genus level,NA,GTDB,No
2075,Sporotomaculum syntrophicum,No curated GEM at species or genus level,NA,GTDB,No
2076,Roseibium aggregatum,No curated GEM at species or genus level,NA,GTDB,No
2077,Aeoliella straminimaris,No curated GEM at species or genus level,NA,JGI GOLD,No
2078,Elusimicrobiota bacterium,No curated GEM at species or genus level,NA,GTDB,No
2079,Mycobacterium lacus,No curated GEM at species or genus level,NA,GTDB,No
2080,Comamonas sp. 26,Genus,NA,GTDB,No
2081,Comamonas terrae,Genus,NA,GTDB,No
2082,Methylocapsa sp. S129,No curated GEM at species or genus level,NA,GTDB,No
2083,Psychrobacter immobilis,No curated GEM at species or genus level,NA,GTDB,No
2084,Oxobacter pfennigii,No curated GEM at species or genus level,NA,GTDB,No
2085,Tolumonas osonensis,No curated GEM at species or genus level,NA,GTDB,No
2086,Paludibacteraceae bacterium,No curated GEM at species or genus level,NA,GTDB,No
2087,Serinicoccus hydrothermalis,No curated GEM at species or genus level,NA,GTDB,No
2088,Streptomyces sp. TSRI0281,Genus,salb,GTDB,No
2089,Streptomyces sp. TSRI0281,Genus,sco,GTDB,No
2090,Actinobacteria bacterium OV450,No curated GEM at species or genus level,NA,GTDB,No
2091,Pseudomonas sp. SSM44,Genus,iJN746,GTDB,No
2092,Pseudomonas sp. SSM44,Genus,riPB890,GTDB,No
2093,Pseudomonas sp. SSM44,Genus,riJN746,GTDB,No
2094,Pseudomonas sp. SSM44,Genus,1YdBTEX2,GTDB,No
2095,Pseudomonas sp. SSM44,Genus,ec_iJN1463,GTDB,No
2096,Pseudomonas sp. SSM44,Genus,iJN1462,GTDB,No
2097,Roseovarius albus,No curated GEM at species or genus level,NA,GTDB,No
2098,Desulfotomaculum sp.,No curated GEM at species or genus level,NA,GTDB,No
2099,Mucilaginibacter polytrichastri,No curated GEM at species or genus level,NA,GTDB,No
