Additional File 3-1. Unique reactions involved in the in silico model of Rhodococcus jostii RHA1,,,,,,,,,,,
Name,ID,Definition,Equation,Directionality,Lower Bound,Upper Bound,EC No,ORF,Replaced Reaction,Reference,Note
L-Ornithine:2-oxo-acid aminotransferase,R00667,L-Ornithine + 2-Oxoglutarate <=> L-Glutamate 5-semialdehyde + L-Glutamate,C00077 + C00026 <=> C01165 + C00025,1,0,Inf,ec:2.6.1.13,ro06169,,"(Kanehisa, Goto et al. 2004)",
L-ornithine ammonia-lyase (cyclizing; L-proline-forming),R00671,L-Ornithine <=> L-Proline + NH3,C00077 <=> C00148 + C00014,1,0,Inf,ec:4.3.1.12,ro04990,,"(Kanehisa, Goto et al. 2004)",
L-Proline:NAD+ 5-oxidoreductase,R01248,L-Proline + NAD+ <=> (S)-1-Pyrroline-5-carboxylate + NADH + H+,C00148 + C00003 <=> C03912 + C00004 + C00080,1,-Inf,Inf,ec:1.5.1.2,ro02061,,"(Kanehisa, Goto et al. 2004)",
proline racemase,R01255,L-Proline <=> D-Proline,C00148 <=> C00763,1,-Inf,Inf,ec:5.1.1.4,ro05288,,"(Kanehisa, Goto et al. 2004)",
"N-Methylimidazolidine-2,4-dione amidohydrolase (ATP-hydrolysing)",R03187,ATP + N-Methylhydantoin + 2 H2O <=> ADP + Orthophosphate + N-Carbamoylsarcosine,C00002 + C02565 + 2 C00001 <=> C00008 + C00009 + C01043,1,0,Inf,ec:3.5.2.14,"ro00479, ro00480, ro03486, ro03487, ro10160",,"(Kanehisa, Goto et al. 2004)",
trans-4-Hydroxy-L-proline:NAD+ 5-oxidoreductase,R03291,trans-4-Hydroxy-L-proline + NAD+ <=> L-1-Pyrroline-3-hydroxy-5-carboxylate + NADH + H+,C01157 + C00003 <=> C04281 + C00004 + C00080,-1,0,Inf,ec:1.5.1.2,ro02061,,"(Kanehisa, Goto et al. 2004)",
L-1-Pyrroline-3-hydroxy-5-carboxylate:NAD+ oxidoreductase,R04444,L-1-Pyrroline-3-hydroxy-5-carboxylate + NAD+ + 2 H2O <=> L-erythro-4-Hydroxyglutamate + NADH + H+,C04281 + C00003 + 2 C00001 <=> C05947 + C00004 + C00080,1,-Inf,Inf,ec:1.5.1.12,"ro00348, ro05951",,"(Kanehisa, Goto et al. 2004)",
L-erythro-4-Hydroxyglutamate:NAD+ oxidoreductase,R05051,L-erythro-4-Hydroxyglutamate + NADH + H+ <=> L-4-Hydroxyglutamate semialdehyde + NAD+ + H2O,C05947 + C00004 + C00080 <=> C05938 + C00003 + C00001,-1,-Inf,Inf,ec:1.5.1.12,"ro00348, ro05951",,"(Kanehisa, Goto et al. 2004)",
,,,,,,,ec:1.5.99.8,ro00349,,,
4-imidazolone-5-propanoate:oxygen oxidoreductase,R00069,Hydantoin-5-propionate + H2O2 <=> 4-Imidazolone-5-propanoate + Oxygen + H2O,C05565 + C00027 <=> C03680 + C00007 + C00001,-1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
1-(5-phospho-D-ribosyl)-ATP:diphosphate phospho-alpha-D-ribosyl-transferase,R01071,1-(5-Phospho-D-ribosyl)-ATP + Diphosphate <=> ATP + 5-Phospho-alpha-D-ribose 1-diphosphate,C02739 + C00013 <=> C00002 + C00119,-1,0,Inf,ec:2.4.2.17,ro00854,,"(Kanehisa, Goto et al. 2004)",
L-histidinal:NAD+ oxidoreductase,R01163,L-Histidinal + H2O + NAD+ <=> L-Histidine + NADH + H+,C01929 + C00001 + C00003 <=> C00135 + C00004 + C00080,1,0,Inf,ec:1.1.1.23,"ro01031, ro04557",,"(Kanehisa, Goto et al. 2004)",
L-histidine ammonia-lyase (urocanate-forming),R01168,L-Histidine <=> Urocanate + NH3,C00135 <=> C00785 + C00014,1,-Inf,Inf,ec:4.3.1.3,"ro02154, ro02588",,"(Kanehisa, Goto et al. 2004)",
N-Formimino-L-glutamate formiminohydrolase,R02285,N-Formimino-L-glutamate + H2O <=> L-Glutamate + Formamide,C00439 + C00001 <=> C00025 + C00488,1,0,Inf,ec:3.5.3.8,ro04640,,"(Kanehisa, Goto et al. 2004)",
4-imidazolone-5-propanoate amidohydrolase,R02288,4-Imidazolone-5-propanoate + H2O <=> N-Formimino-L-glutamate,C03680 + C00001 <=> C00439,1,-Inf,Inf,ec:3.5.2.7,ro04641,,"(Kanehisa, Goto et al. 2004)",
"4,5-Dihydro-4-oxo-5-imidazolepropanoate hydro-lyase",R02914,4-Imidazolone-5-propanoate <=> Urocanate + H2O,C03680 <=> C00785 + C00001,-1,-Inf,Inf,ec:4.2.1.49,ro04642,,"(Kanehisa, Goto et al. 2004)",
L-Histidinol:NAD+ oxidoreductase,R03012,L-Histidinol + NAD+ <=> L-Histidinal + NADH + H+,C00860 + C00003 <=> C01929 + C00004 + C00080,1,0,Inf,ec:1.1.1.23,"ro01031, ro04557",,"(Kanehisa, Goto et al. 2004)",
5-Amino-2-oxopentanoate:2-oxoglutarate aminotransferase,R03243,L-Histidinol phosphate + 2-Oxoglutarate <=> 3-(Imidazol-4-yl)-2-oxopropyl phosphate + L-Glutamate,C01100 + C00026 <=> C01267 + C00025,-1,-Inf,Inf,ec:2.6.1.9,"ro01030, ro01184, ro01256, ro04128",,"(Kanehisa, Goto et al. 2004)",
D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate hydro-lyase,R03457,D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate <=> 3-(Imidazol-4-yl)-2-oxopropyl phosphate + H2O,C04666 <=> C01267 + C00001,1,-Inf,Inf,ec:4.2.1.19,ro01029,,"(Kanehisa, Goto et al. 2004)",
Phosphoribosyl-ATP pyrophosphohydrolase,R04035,1-(5-Phospho-D-ribosyl)-ATP + H2O <=> Phosphoribosyl-AMP + Diphosphate,C02739 + C00001 <=> C02741 + C00013,1,0,Inf,ec:3.6.1.31,ro00855,,"(Kanehisa, Goto et al. 2004)",
"1-(5-phospho-D-ribosyl)-AMP 1,6-hydrolase",R04037,Phosphoribosyl-AMP + H2O <=> 5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide,C02741 + C00001 <=> C04896,1,-Inf,Inf,ec:3.5.4.19,ro01021,,"(Kanehisa, Goto et al. 2004)",
,R04558,N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide + L-Glutamine <=> D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate + 1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide + L-Glutamate,C04916 + C00064 <=> C04666 + C04677 + C00025,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
N-(5'-Phospho-D-ribosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide ketol-isomerase,R04640,5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide <=> N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide,C04896 <=> C04916,1,-Inf,Inf,ec:5.3.1.16,ro01024,,"(Kanehisa, Goto et al. 2004)",
L-Tyrosine:2-oxoglutarate aminotransferase,R00734,L-Tyrosine + 2-Oxoglutarate <=> 3-(4-Hydroxyphenyl)pyruvate + L-Glutamate,C00082 + C00026 <=> C01179 + C00025,-1,0,Inf,ec:2.6.1.9,"ro01030, ro01184, ro01256, ro04128",,"(Kanehisa, Goto et al. 2004)",
4-fumarylacetoacetate fumarylhydrolase,R01364,Acetoacetate + Fumarate <=> 4-Fumarylacetoacetate + H2O,C00164 + C00122 <=> C01061 + C00001,-1,-Inf,Inf,ec:3.7.1.2,ro02309,,"(Kanehisa, Goto et al. 2004)",
4-hydroxy-2-oxo-heptandioate succinate semialdehyde-lyase (pyruvate-forming),R01645,4-Hydroxy-2-oxo-heptanedioate <=> Succinate semialdehyde + Pyruvate,C05601 <=> C00232 + C00022,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
,R01647,"Succinate semialdehyde + Pyruvate <=> 2,4-Dihydroxyhept-2-enedioate",C00232 + C00022 <=> C06201,-1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
Tyramine:oxygen oxidoreductase(deaminating)(flavin-containing),R02382,Tyramine + H2O + Oxygen <=> 4-Hydroxyphenylacetaldehyde + NH3 + H2O2,C00483 + C00001 + C00007 <=> C03765 + C00014 + C00027,1,0,Inf,ec:1.4.3.21,"ro02608, ro02834, ro05597, ro08476",,"(Kanehisa, Goto et al. 2004)",
,,,,,,,ec:1.4.3.4,"ro01769, ro05707",,,
"Monophenol,L-dopa:oxygen oxidoreductase",R02383,Tyramine + Oxygen + NADH + H+ <=> Dopamine + NAD+ + H2O,C00483 + C00007 + C00004 + C00080 <=> C03758 + C00003 + C00001,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
,R02518,Homogentisate + Oxygen + NADPH <=> Gentisate aldehyde + CO2 + NADP+ + H+ + H2O,C00544 + C00007 + C00005 <=> C05585 + C00011 + C00006 + C00080 + C00001,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
"Homogentisate:oxygen 1,2-oxidoreductase (decyclizing)",R02519,Homogentisate + Oxygen <=> 4-Maleylacetoacetate,C00544 + C00007 <=> C01036,1,0,Inf,ec:1.13.11.5,ro02311,,"(Kanehisa, Goto et al. 2004)",
"4-Hydroxyphenylpyruvate:oxygen oxidoreductase (hydroxylating,decarboxylating)",R02521,3-(4-Hydroxyphenyl)pyruvate + Oxygen <=> Homogentisate + CO2,C01179 + C00007 <=> C00544 + C00011,1,0,Inf,ec:1.13.11.27,"ro01367, ro02040, ro03041, ro03170, ro05074",,"(Kanehisa, Goto et al. 2004)",
"Gentisate:oxygen 1,2-oxidoreductase (decyclizing)",R02656,"2,5-Dihydroxybenzoate + Oxygen <=> Maleylpyruvate",C00628 + C00007 <=> C02167,1,0,Inf,ec:1.13.11.4,ro01866,,"(Kanehisa, Goto et al. 2004)",
4-Hydroxyphenylacetaldehyde:NAD+ oxidoreductase,R02695,4-Hydroxyphenylacetaldehyde + NAD+ + H2O <=> 4-Hydroxyphenylacetate + NADH + H+,C03765 + C00003 + C00001 <=> C00642 + C00004 + C00080,1,-Inf,Inf,ec:1.2.1.5,ro01724,,"(Kanehisa, Goto et al. 2004)",
"4-hydroxyphenylacetate,NADH:oxygen oxidoreductase (3-hydroxylating)",R02698,"4-Hydroxyphenylacetate + Oxygen + NADH + H+ <=> 3,4-Dihydroxyphenylacetate + NAD+ + H2O",C00642 + C00007 + C00004 + C00080 <=> C01161 + C00003 + C00001,1,0,Inf,ec:1.14.13.3,"ro01782, ro02380, ro02514, ro02847, ro03853, ro03872, ro08077",,"(Kanehisa, Goto et al. 2004)",
"3-Hydroxyphenylacetate,NADH:oxygen oxidoreductase (3-hydroxylating)",R03299,"3-Hydroxyphenylacetate + Oxygen + NADH + H+ <=> 3,4-Dihydroxyphenylacetate + NAD+ + H2O",C05593 + C00007 + C00004 + C00080 <=> C01161 + C00003 + C00001,1,0,Inf,ec:1.14.13.3,"ro01782, ro02380, ro02514, ro02847, ro03853, ro03872, ro08077",,"(Kanehisa, Goto et al. 2004)",
"3,4-Dihydroxyphenylacetaldehyde:NAD+ oxidoreductase",R03300,"3,4-Dihydroxyphenylacetaldehyde + NAD+ + H2O <=> 3,4-Dihydroxyphenylacetate + NADH + H+",C04043 + C00003 + C00001 <=> C01161 + C00004 + C00080,1,0,Inf,ec:1.2.1.5,ro01724,,"(Kanehisa, Goto et al. 2004)",
3-Maleylpyruvate cis-trans-isomerase,R03868,Maleylpyruvate <=> 3-Fumarylpyruvate,C02167 <=> C02514,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
,R04131,2-Oxohept-3-enedioate + H2O <=> 4-Hydroxy-2-oxo-heptanedioate,C03063 + C00001 <=> C05601,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
"4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",R04300,"Dopamine + H2O + Oxygen <=> 3,4-Dihydroxyphenylacetaldehyde + NH3 + H2O2",C03758 + C00001 + C00007 <=> C04043 + C00014 + C00027,1,0,Inf,ec:1.4.3.21,"ro02608, ro02834, ro05597, ro08476",,"(Kanehisa, Goto et al. 2004)",
,,,,,,,ec:1.4.3.4,"ro01769, ro05707",,,
4-Hydroxyphenylethanol:NAD+ oxidoreductase,R04304,4-Hydroxyphenylethanol + NAD+ <=> 4-Hydroxyphenylacetaldehyde + NADH + H+,C06044 + C00003 <=> C03765 + C00004 + C00080,-1,0,Inf,ec:1.1.1.90,"ro02648, ro02661, ro03285",,"(Kanehisa, Goto et al. 2004)",
,R04895,"2-Hydroxyhepta-2,4-dienedioate + H2O <=> 4-Hydroxy-2-oxo-heptanedioate",C05600 + C00001 <=> C05601,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
,R05257,"2,3-Dihydroxy 1,1,1-Trichloro-2,2-bis(4'-chlorophenyl)ethane + Oxygen <=> 6-Oxo-2-hydroxy-7-(4'-chlorophenyl)-3,8,8,8-tetrachloroocta-2E,4E-dienoate",C06650 + C00007 <=> C06651,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
,R05376,Bis(4'-chlorophenyl)methane + CO2 <=> Bis(4'-chlorophenyl)acetate,C06641 + C00011 <=> C06640,-1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
,R05395,"cis-2,3-Dihydrodiol 1,1,1-Trichloro-2,2-bis(4'-chlorophenyl)ethane + NAD+ <=> 2,3-Dihydroxy 1,1,1-Trichloro-2,2-bis(4'-chlorophenyl)ethane + NADH + H+",C06649 + C00003 <=> C06650 + C00004 + C00080,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
L-phenylalanine:NAD+ oxidoreductase (deaminating),R00688,L-Phenylalanine + H2O + NAD+ <=> Phenylpyruvate + NH3 + NADH + H+,C00079 + C00001 + C00003 <=> C00166 + C00014 + C00004 + C00080,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
L-Phenylalanine:2-oxoglutarate aminotransferase,R00694,L-Phenylalanine + 2-Oxoglutarate <=> Phenylpyruvate + L-Glutamate,C00079 + C00026 <=> C00166 + C00025,-1,0,Inf,ec:2.6.1.9,"ro01030, ro01184, ro01256, ro04128",,"(Kanehisa, Goto et al. 2004)",
4-hydroxy-2-oxopentanoate pyruvate-lyase (acetaldehyde-forming),R00750,Acetaldehyde + Pyruvate <=> 4-Hydroxy-2-oxopentanoate,C00084 + C00022 <=> C03589,-1,0,Inf,ec:4.1.3.39,"ro00515, ro03867, ro04535, ro05801, ro08083, ro09019, ro10112",,"(Kanehisa, Goto et al. 2004)",
"Phenylpyruvate:oxygen oxidoreductase (hydroxylating,decarboxylating)",R01372,Phenylpyruvate + Oxygen <=> 2-Hydroxyphenylacetate + CO2,C00166 + C00007 <=> C05852 + C00011,1,0,Inf,ec:1.13.11.27,"ro01367, ro02040, ro03041, ro03170, ro05074",,"(Kanehisa, Goto et al. 2004)",
Phenylacetaldehyde:NAD+ oxidoreductase,R02536,Phenylacetaldehyde + NAD+ + H2O <=> Phenylacetic acid + NADH + H+,C00601 + C00003 + C00001 <=> C07086 + C00004 + C00080,1,-Inf,Inf,ec:1.2.1.5,ro01724,,"(Kanehisa, Goto et al. 2004)",
Phenylacetate:CoA ligase,R02539,ATP + Phenylacetic acid + CoA <=> AMP + Diphosphate + Phenylacetyl-CoA,C00002 + C07086 + C00010 <=> C00020 + C00013 + C00582,1,0,Inf,ec:6.2.1.30,"ro02854, ro10301",,"(Kanehisa, Goto et al. 2004)",
2-phenylacetamide amidohydrolase,R02540,2-Phenylacetamide + H2O <=> Phenylacetic acid + NH3,C02505 + C00001 <=> C07086 + C00014,1,0,Inf,ec:3.5.1.4,"ro00359, ro01236, ro02852, ro03211, ro03496, ro04008, ro04406, ro04575, ro04799, ro05297, ro10169",,"(Kanehisa, Goto et al. 2004)",
,R02601,"2-Hydroxy-2,4-pentadienoate + H2O <=> 4-Hydroxy-2-oxopentanoate",C00596 + C00001 <=> C03589,1,0,Inf,ec:4.2.1.80,"ro00517, ro03881, ro08085, ro10117",,"(Kanehisa, Goto et al. 2004)",
"2-Hydroxy-6-oxonona-2,4-diene-1,9-dioate succinylhydrolase",R02603,"2-Hydroxy-2,4-pentadienoate + Succinate <=> 2-Hydroxy-6-oxonona-2,4-diene-1,9-dioate + H2O",C00596 + C00042 <=> C04479 + C00001,-1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
Phenylethylalcohol:NAD+ oxidoreductase,R02611,Phenylethyl alcohol + NAD+ <=> Phenylacetaldehyde + NADH + H+,C05853 + C00003 <=> C00601 + C00004 + C00080,1,-Inf,Inf,ec:1.1.1.90,"ro02648, ro02661, ro03285",,"(Kanehisa, Goto et al. 2004)",
Phenethylamine:oxygen oxidoreductase (deaminating),R02613,Phenethylamine + Oxygen + H2O <=> Phenylacetaldehyde + NH3 + H2O2,C05332 + C00007 + C00001 <=> C00601 + C00014 + C00027,1,0,Inf,ec:1.4.3.21,"ro02608, ro02834, ro05597, ro08476",,"(Kanehisa, Goto et al. 2004)",
,,,,,,,ec:1.4.3.4,"ro01769, ro05707",,,
,R04376,"3-(2,3-Dihydroxyphenyl)propanoate + Oxygen <=> 2-Hydroxy-6-oxonona-2,4-diene-1,9-dioate",C04044 + C00007 <=> C04479,1,0,Inf,ec:1.13.11.16,ro00518,,"(Kanehisa, Goto et al. 2004)",
,R05841,Phenylacetyl-CoA + Glycine <=> Phenylacetylglycine + CoA,C00582 + C00037 <=> C05598 + C00010,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
"3-phenylpropanoate,NADH:oxygen oxidoreductase (2,3-hydroxylating)",R06782,"Phenylpropanoate + Oxygen + NADH + H+ <=> cis-3-(Carboxy-ethyl)-3,5-cyclo-hexadiene-1,2-diol + NAD+",C05629 + C00007 + C00004 + C00080 <=> C11588 + C00003,1,0,Inf,ec:1.14.12.19,"ro08176, ro08177",,"(Kanehisa, Goto et al. 2004)",
"trans-cinnamate,NADH:oxygen oxidoreductase (2,3-hydroxylating)",R06783,"trans-Cinnamate + Oxygen + NADH + H+ <=> cis-3-(3-Carboxyethenyl)-3,5-cyclohexadiene-1,2-diol + NAD+",C00423 + C00007 + C00004 + C00080 <=> C12622 + C00003,1,0,Inf,ec:1.14.12.19,"ro08176, ro08177",,"(Kanehisa, Goto et al. 2004)",
,R06784,"cis-3-(Carboxy-ethyl)-3,5-cyclo-hexadiene-1,2-diol + NAD+ <=> 3-(2,3-Dihydroxyphenyl)propanoate + NADH + H+",C11588 + C00003 <=> C04044 + C00004 + C00080,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
,R06785,"cis-3-(3-Carboxyethenyl)-3,5-cyclohexadiene-1,2-diol + NAD+ <=> trans-2,3-Dihydroxycinnamate + NADH + H+",C12622 + C00003 <=> C12623 + C00004 + C00080,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
,R06786,"3-(3-Hydroxy-phenyl)-propanoic acid + Oxygen + NADH + H+ <=> 3-(2,3-Dihydroxyphenyl)propanoate + H2O + NAD+",C11457 + C00007 + C00004 + C00080 <=> C04044 + C00001 + C00003,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
,R06787,"trans-3-Hydroxycinnamate + Oxygen + NADH + H+ <=> trans-2,3-Dihydroxycinnamate + H2O + NAD+",C12621 + C00007 + C00004 + C00080 <=> C12623 + C00001 + C00003,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
,R06788,"trans-2,3-Dihydroxycinnamate + Oxygen <=> 2-Hydroxy-6-ketononatrienedioate",C12623 + C00007 <=> C12624,1,0,Inf,ec:1.13.11.16,ro00518,,"(Kanehisa, Goto et al. 2004)",
,R06789,"2-Hydroxy-6-ketononatrienedioate + H2O <=> 2-Hydroxy-2,4-pentadienoate + Fumarate",C12624 + C00001 <=> C00596 + C00122,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
"Resorcinol,NADPH:oxogen oxidoreductase (2-hydroxylating)",R05249,"Resorcinol + Oxygen + NADPH + H+ <=> Benzene-1,2,4-triol + NADP+ + H2O",C01751 + C00007 + C00005 + C00080 <=> C02814 + C00006 + C00001,1,0,Inf,ec:1.14.13.7,"ro02379, ro08076",,"(Kanehisa, Goto et al. 2004)",
,R05258,p-Benzoquinone + Nitrite + NADP+ + H2O <=> 4-Nitrophenol + Oxygen + NADPH + H+,C00472 + C00088 + C00006 + C00001 <=> C00870 + C00007 + C00005 + C00080,-1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
,R05265,"4-Nitrocatechol + Oxygen + 3 H+ <=> Benzene-1,2,4-triol + Nitrite + H2O",C02235 + C00007 + 3 C00080 <=> C02814 + C00088 + C00001,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
Chloroacetic acid halidohydrolase,R05287,Chloroacetic acid + H2O <=> Glycolate + Hydrochloric acid,C06755 + C00001 <=> C00160 + C01327,1,-Inf,Inf,ec:3.8.1.2,ro00230,,"(Kanehisa, Goto et al. 2004)",
,R06831,"1,2,4-Trichlorobenzene + NADH + H+ + Oxygen <=> 3,4,6-Trichloro-cis-1,2-dihydroxycyclohexa-3,5-diene + NAD+",C06594 + C00004 + C00080 + C00007 <=> C12832 + C00003,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
"catechol:oxygen 1,2-oxidoreductase",R06833,"3,4,6-Trichlorocatechol + Oxygen <=> 2,3,5-Trichloro-cis,cis-muconate",C12831 + C00007 <=> C12833,1,0,Inf,ec:1.13.11.1,"ro02373, ro02515, ro08069, ro08511",,"(Kanehisa, Goto et al. 2004)",
4-carboxymethylenebut-2-en-4-olide lactonohydrolase,R06835,"2,5-Dichloro-carboxymethylenebut-2-en-4-olide + H2O <=> 2,5-Dichloro-4-oxohex-2-enedioate",C12834 + C00001 <=> C12835,1,-Inf,Inf,ec:3.1.1.45,"ro01784, ro02271, ro03727, ro04129",,"(Kanehisa, Goto et al. 2004)",
4-carboxymethylenebut-2-en-4-olide lactonohydrolase,R06838,trans-4-Carboxymethylenebut-2-en-4-olide + H2O <=> 2-Maleylacetate,C12838 + C00001 <=> C02222,1,-Inf,Inf,ec:3.1.1.45,"ro01784, ro02271, ro03727, ro04129",,"(Kanehisa, Goto et al. 2004)",
"catechol:oxygen 1,2-oxidoreductase",R06839,"3-Chlorocatechol + Oxygen <=> 2-Chloro-cis,cis-muconate",C05618 + C00007 <=> C03572,1,0,Inf,ec:1.13.11.1,"ro02373, ro02515, ro08069, ro08511",,"(Kanehisa, Goto et al. 2004)",
3-oxoadipate:NAD(P)+ oxidoreductase,R06848,"2,5-Dichloro-4-oxohex-2-enedioate + 2 NADH + 2 H+ <=> 2-Chloro-3-oxoadipate + Hydrochloric acid + 2 NAD+",C12835 + 2 C00004 + 2 C00080 <=> C12836 + C01327 + 2 C00003,1,-Inf,Inf,ec:1.3.1.32,"ro01858, ro02996, ro08510, ro11309",,"(Kanehisa, Goto et al. 2004)",
,R06851,"p-Benzenediol + NADPH + H+ + Oxygen <=> Benzene-1,2,4-triol + NADP+ + H2O",C00530 + C00005 + C00080 + C00007 <=> C02814 + C00006 + C00001,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
,R06853,"Benzene-1,2,4-triol <=> 2-Hydroxy-1,4-benzoquinone",C02814 <=> C07103,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
,R06854,"2-Hydroxy-1,4-benzoquinone <=> p-Benzoquinone + H2O",C07103 <=> C00472 + C00001,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
,R06856,"Chlorobenzene + Oxygen + NADH + H+ <=> 3-Chloro-cis-1,2-dihydroxycyclohexa-3,5-diene + NAD+",C06990 + C00007 + C00004 + C00080 <=> C12837 + C00003,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
"3-chlorocatechol:oxygen 1,2-oxidoreductase (decyclizing)",R07827,3-Chlorocatechol + Oxygen <=> 3-Chloro-2-hydroxymuconic semialdehyde,C05618 + C00007 <=> C16266,1,0,Inf,ec:1.13.11.39,"ro05803, ro08055, ro09005",,"(Kanehisa, Goto et al. 2004)",
"(1R,6S)-1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate:NAD+ oxidoreductase (decarboxylating)",R00813,"1,6-Dihydroxy-cis-2,4-cyclohexadiene-1-carboxylic acid + NAD+ <=> Catechol + NADH + CO2 + H+",C06321 + C00003 <=> C00090 + C00004 + C00011 + C00080,1,0,Inf,ec:1.3.1.25,ro02387,,"(Kanehisa, Goto et al. 2004)",
"Catechol:oxygen 2,3-oxidoreductase (decyclizing)",R00816,Catechol + Oxygen <=> 2-Hydroxymuconate semialdehyde,C00090 + C00007 <=> C00682,1,0,Inf,ec:1.13.11.2,"ro03865, ro08079",,"(Kanehisa, Goto et al. 2004)",
"Catechol:oxygen 1,2-oxidoreductase(decyclizing)",R00817,"Catechol + Oxygen <=> cis,cis-Muconate",C00090 + C00007 <=> C02480,1,0,Inf,ec:1.13.11.1,"ro02373, ro02515, ro08069, ro08511",,"(Kanehisa, Goto et al. 2004)",
Succinyl-CoA:acetyl-CoA C-acyltransferase; beta-ketoadipyl-CoA thiolase,R00829,Succinyl-CoA + Acetyl-CoA <=> CoA + 3-Oxoadipyl-CoA,C00091 + C00024 <=> C00010 + C02232,-1,0,Inf,ec:2.3.1.16,"ro02294, ro05543, ro06853, ro10318, ro11185",,"(Kanehisa, Goto et al. 2004)",
4-hydroxybenzaldehyde:NAD+ oxidoreductase,R01293,4-Hydroxybenzaldehyde + NAD+ + H2O <=> 4-Hydroxybenzoate + NADH + H+,C00633 + C00003 + C00001 <=> C00156 + C00004 + C00080,-1,-Inf,Inf,ec:1.2.1.28,"ro02797, ro02986",,"(Kanehisa, Goto et al. 2004)",
"4-hydroxybenzoate,NADPH:oxygen oxidoreductase (3-hydroxylating)",R01298,"4-Hydroxybenzoate + Oxygen + NADPH + H+ <=> 3,4-Dihydroxybenzoate + NADP+ + H2O",C00156 + C00007 + C00005 + C00080 <=> C00230 + C00006 + C00001,1,0,Inf,ec:1.14.13.2,ro02539,,"(Kanehisa, Goto et al. 2004)",
"protocatechuate,NADH:oxygen oxidoreductase (1-hydroxylating, decarboxylating)",R01629,"3,4-Dihydroxybenzoate + Oxygen + NADH + H+ <=> Benzene-1,2,4-triol + CO2 + NAD+ + H2O",C00230 + C00007 + C00004 + C00080 <=> C02814 + C00011 + C00003 + C00001,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
"Protocatechuate:oxygen 3,4-oxidoreductase (decyclizing)",R01631,"3,4-Dihydroxybenzoate + Oxygen <=> 3-Carboxy-cis,cis-muconate",C00230 + C00007 <=> C01163,1,0,Inf,ec:1.13.11.3,"ro01335, ro01336",,"(Kanehisa, Goto et al. 2004)",
4-Oxalocrotonate carboxy-lyase,R02602,"(Z)-5-Oxohex-2-enedioate <=> 2-Hydroxy-2,4-pentadienoate + CO2",C03453 <=> C00596 + C00011,1,0,Inf,ec:4.1.1.77,ro03880,,"(Kanehisa, Goto et al. 2004)",
4-Hydroxybenzoylformate carboxy-lyase,R02672,4-Hydroxyphenylglyoxylate <=> 4-Hydroxybenzaldehyde + CO2,C03590 <=> C00633 + C00011,-1,0,Inf,ec:4.1.1.7,"ro02795, ro02985",,"(Kanehisa, Goto et al. 2004)",
